Date,Open,High,Low,Close,Volume,Tweet,Company Name, Stock Name
12/22/2023,103,111.75,101.81,108.1,"101,077,602","On December 22, 2022, Tesla tweeted about the Model Y breaking the best-selling car record in Norway, which was held since 1969 by the Beetle","Tesla, Inc.",TSLA
12/11/2023,109.11,114.39,104.64,109.1,"101,377,906",$TSLA #TSLA Bull case (weekly) vs. bear case (daily) is pretty clear here,"Tesla, Inc.",TSLA
12/8/2023,110.35,114.59,107.16,110.34,"101,543,297","@TroyTeslike If you add back the 80K or so lost sales in China/Europe because $TSLA GigaShanghai was forced to shut down due to Covid in 2Q (other Europe/China EV makers were not impacted), TSLA US+Europe+China BEV share was 19.8% (312,484/1,574,579).","Tesla, Inc.",TSLA
12/7/2023,110.51,116.27,107.52,112.71,"101,596,305",36 hours and counting. I now have full confidence this will outlast my power outage. Iâ€™m so thankful for this. #FIONA2022 #HurricaneFiona #NovaScotia @Tesla @elonmusk https://t.co/PyD0ezaxyb,"Tesla, Inc.",TSLA
12/6/2023,116.55,118.8,108.24,113.06,"101,752,898","Help to to trading $SPY , $QQQ , $VIX , $TSLA to becoming the best trader you can possibly be is all on 70+ page thread","Tesla, Inc.",TSLA
12/5/2023,117.5,119.67,108.76,113.64,"101,985,297",FSD Beta saved me from what couldâ€™ve been a severe head on collision. It reacted and swerved right faster than I couldâ€™ve. It was a lot to process in the moment but glad the car made the right move. @Tesla @elonmusk https://t.co/pXriZBniVj,"Tesla, Inc.",TSLA
12/4/2023,118.47,122.63,114.92,118.85,"101,993,602","End of quarter time and @Tesla is clearing out U.S. inventory, selling their demo cars per @w4tsla listings lately.","Tesla, Inc.",TSLA
12/1/2023,118.96,122.76,115.6,119.77,"102,296,797","Down $815,600 today. ðŸ¥± Didn't sweat for a minute 'cos Tesla is the only Tesla. $TSLA","Tesla, Inc.",TSLA
11/30/2023,119.95,123.52,117,121.82,"103,126,797","The last time $TSLA lost 13% it took about 3 weeks. This time, 3 days. The speed of these losses and rising of yields is nothing I've seen in at least 15 years.","Tesla, Inc.",TSLA
11/29/2023,120.39,123.57,117.11,122.4,"103,697,297","My $TSLA AI Day wish is for Franz to throw a ball bearing at the bot, which catches it and then installs it on another bot.","Tesla, Inc.",TSLA
11/28/2023,121.07,124.13,117.5,123.15,"103,704,000",Elon or someone is selling this morning. $TSLA,"Tesla, Inc.",TSLA
11/27/2023,122.09,124.48,119.75,123.18,"103,706,305",@elonmusk Starlink is a philanthropy!! And so is @tesla https://t.co/U55jgPeqEx,"Tesla, Inc.",TSLA
